time,e1,e2,r1,r2,tau1,tau2
0.58504874,0.32380903,0.08031144,2.0514383,0.78736985,2.445589,1.7305133
0.59004915,0.32759595,0.08265381,2.0674381,0.7920128,2.5494704,1.7828825
0.59504956,0.33138704,0.08497249,2.0833368,0.7962254,2.6538749,1.8347182
0.60005003,0.33518183,0.087265834,2.0991113,0.8000393,2.7587414,1.8859866
0.60505044,0.3389796,0.08953227,2.114738,0.80348694,2.8640075,1.9366584
0.61005086,0.3427794,0.091770545,2.1301923,0.806603,2.9696097,1.9867105
0.61505127,0.3465805,0.09397958,2.1454499,0.8094229,3.0754826,2.0361257
0.6200517,0.35038173,0.09615846,2.1604853,0.81198275,3.1815615,2.0848923
0.6250521,0.35418212,0.09830649,2.1752741,0.8143194,3.2877781,2.1330037
0.6300525,0.3579806,0.10042319,2.189792,0.8164697,3.3940642,2.1804595
0.6350529,0.3617754,0.10250823,2.2040114,0.8184707,3.5003471,2.2272625
0.64005333,0.36556554,0.10456152,2.2179108,0.82035905,3.606556,2.273422
0.64505374,0.36934924,0.1065831,2.231464,0.8221705,3.7126155,2.3189502
0.65005416,0.37312508,0.10857324,2.2446485,0.8239404,3.8184485,2.363863
0.65505457,0.37689126,0.11053239,2.2574408,0.8257028,3.9239762,2.4081807
0.660055,0.380646,0.11246106,2.2698193,0.8274901,4.0291157,2.4519246
0.6650554,0.38438773,0.114360034,2.2817638,0.8293336,4.1337852,2.4951186
0.67005587,0.38811398,0.116230205,2.2932525,0.8312628,4.237898,2.5377893
0.6750563,0.39182317,0.118072525,2.3042676,0.8333047,4.341365,2.579962
0.6800567,0.3955133,0.11988813,2.3147924,0.83548474,4.4440975,2.6216645
0.6850571,0.39918208,0.12167825,2.3248098,0.8378262,4.5460014,2.6629224
0.6900575,0.40282774,0.12344423,2.3343062,0.8403497,4.6469855,2.7037618
0.6950579,0.40644777,0.1251874,2.3432667,0.84307355,4.746952,2.7442071
0.70005834,0.41004038,0.12690927,2.3516817,0.846014,4.845807,2.784281
0.70505875,0.41360307,0.12861133,2.3595388,0.8491844,4.943452,2.824002
0.71005917,0.4171338,0.13029514,2.3668303,0.8525959,5.0397887,2.8633878
0.7150596,0.4206301,0.13196224,2.3735476,0.8562572,5.13472,2.902452
0.72006,0.42409015,0.13361423,2.3796864,0.86017483,5.2281494,2.9412053
0.7250604,0.4275118,0.13525268,2.3852417,0.8643529,5.31998,2.9796538
0.7300608,0.4308927,0.13687919,2.3902102,0.8687934,5.410116,3.0178
0.7350612,0.4342307,0.13849531,2.39459,0.87349665,5.4984636,3.0556412
0.7400617,0.43752384,0.14010257,2.3983803,0.87846076,5.58493,3.093172
0.7450621,0.44077015,0.1417024,2.4015827,0.883682,5.669427,3.1303818
0.7500625,0.44396746,0.14329626,2.4041977,0.8891557,5.751867,3.1672556
0.75506294,0.44711375,0.14488553,2.4062278,0.89487547,5.832165,3.2037754
0.76006335,0.45020747,0.14647152,2.4076781,0.90083385,5.910241,3.239918
0.76506376,0.45324636,0.14805552,2.4085507,0.9070226,5.986016,3.2756553
0.7700642,0.45622885,0.14963871,2.4088516,0.91343254,6.0594153,3.310958
0.7750646,0.45915318,0.1512222,2.4085865,0.92005396,6.1303716,3.3457932
0.780065,0.46201754,0.15280704,2.4077601,0.92687684,6.198817,3.3801234
0.7850654,0.46482038,0.15439424,2.4063797,0.933891,6.2646875,3.413909
0.7900658,0.4675603,0.15598466,2.4044518,0.9410861,6.3279276,3.447109
0.79506624,0.4702357,0.15757918,2.4019833,0.94845223,6.3884835,3.4796803
0.80006665,0.47284532,0.15917857,2.398981,0.9559795,6.4463034,3.5115771
